features,type,accuracy,freqs
2205,HER2+,1.0,1
471,HER2+,1.0,1
471,HR+,0.6153846153846154,1
471,TN,0.5,1
1674,HER2+,1.0,1
1674,HR+,0.7777777777777778,1
1674,TN,0.5882352941176471,1
852,HER2+,1.0,1
852,HR+,0.7777777777777778,1
472,TN,0.5,1
852,TN,0.5882352941176471,1
1667,HR+,0.5,1
1667,TN,0.5555555555555556,1
694,HER2+,0.8,1
694,HR+,0.5,1
694,TN,0.5555555555555556,1
739,HER2+,1.0,1
739,HR+,0.5882352941176471,1
739,TN,1.0,1
1667,HER2+,0.8,1
472,HR+,0.6153846153846154,1
472,HER2+,1.0,1
473,TN,0.5,1
492,HR+,0.35714285714285715,1
492,TN,0.4,1
2032,HER2+,1.0,1
2032,HR+,0.6153846153846154,1
2032,TN,0.5,1
485,HER2+,1.0,1
485,HR+,0.6153846153846154,1
485,TN,0.5,1
483,HER2+,1.0,1
483,HR+,0.6153846153846154,1
483,TN,0.5,1
480,HER2+,1.0,1
480,HR+,0.6153846153846154,1
480,TN,0.5,1
474,HER2+,1.0,1
474,HR+,0.6153846153846154,1
474,TN,0.5,1
473,HER2+,1.0,1
473,HR+,0.6153846153846154,1
738,HER2+,1.0,1
738,HR+,0.5882352941176471,1
738,TN,1.0,1
737,HER2+,1.0,1
914,HER2+,0.875,1
914,HR+,0.46153846153846156,1
914,TN,0.75,1
422,HER2+,0.875,1
422,HR+,0.46153846153846156,1
422,TN,0.75,1
393,HER2+,0.875,1
393,HR+,0.46153846153846156,1
393,TN,0.75,1
1359,HER2+,0.875,1
1359,HR+,0.46153846153846156,1
1359,TN,0.75,1
421,HER2+,0.875,1
421,HR+,0.46153846153846156,1
421,TN,0.75,1
418,HER2+,0.875,1
418,HR+,0.46153846153846156,1
418,TN,0.75,1
419,HER2+,0.875,1
267,TN,0.5833333333333334,1
492,HER2+,0.9285714285714286,1
267,HR+,0.5,1
488,TN,0.4444444444444444,1
737,HR+,0.5882352941176471,1
737,TN,1.0,1
733,HER2+,1.0,1
733,HR+,0.5882352941176471,1
733,TN,1.0,1
732,HER2+,1.0,1
732,HR+,0.5882352941176471,1
732,TN,1.0,1
2210,HER2+,1.0,1
2210,HR+,0.6,1
2210,TN,0.4444444444444444,1
734,HR+,0.6428571428571429,1
2205,HR+,0.6,1
2205,TN,0.4444444444444444,1
489,HER2+,1.0,1
489,HR+,0.6,1
489,TN,0.4444444444444444,1
488,HER2+,1.0,1
488,HR+,0.6,1
267,HER2+,0.8181818181818182,1
2662,TN,0.4,1
2662,HR+,0.35714285714285715,1
2662,HER2+,0.9285714285714286,1
848,HR+,0.75,1
848,TN,0.6363636363636364,1
1032,HER2+,1.0,1
1032,HR+,0.5,1
1032,TN,0.5714285714285714,1
844,HER2+,1.0,1
844,HR+,0.5,1
844,TN,0.5714285714285714,1
843,HER2+,1.0,1
843,HR+,0.5,1
843,TN,0.5714285714285714,1
841,HER2+,1.0,1
841,HR+,0.5,1
841,TN,0.5714285714285714,1
838,HER2+,1.0,1
838,HR+,0.5,1
838,TN,0.5714285714285714,1
486,HER2+,1.0,1
486,HR+,0.5,1
848,HER2+,1.0,1
486,TN,0.5714285714285714,1
1654,TN,0.6363636363636364,1
1654,HER2+,1.0,1
734,TN,0.7777777777777778,1
724,HER2+,1.0,1
724,HR+,0.6428571428571429,1
724,TN,0.7777777777777778,1
836,HER2+,1.0,1
836,HR+,0.5,1
836,TN,0.6666666666666666,1
835,HER2+,1.0,1
835,HR+,0.5,1
835,TN,0.6666666666666666,1
834,HER2+,1.0,1
834,HR+,0.5,1
834,TN,0.6666666666666666,1
1677,HER2+,1.0,1
1677,HR+,0.75,1
1677,TN,0.6363636363636364,1
1655,HER2+,1.0,1
1655,HR+,0.75,1
1655,TN,0.6363636363636364,1
1654,HR+,0.75,1
419,HR+,0.46153846153846156,1
1686,HER2+,0.6,1
1686,TN,0.6363636363636364,1
58,TN,0.6666666666666666,1
57,HER2+,0.8461538461538461,1
57,HR+,0.875,1
57,TN,0.6666666666666666,1
2183,HER2+,1.0,1
2183,HR+,0.7272727272727273,1
2183,TN,0.9090909090909091,1
2017,HER2+,1.0,1
2017,HR+,0.7272727272727273,1
2017,TN,0.9090909090909091,1
833,HER2+,1.0,1
833,HR+,0.7272727272727273,1
833,TN,0.9090909090909091,1
827,HER2+,1.0,1
827,HR+,0.7272727272727273,1
827,TN,0.9090909090909091,1
2663,HER2+,0.9285714285714286,1
2663,HR+,0.35714285714285715,1
2663,TN,0.4,1
58,HR+,0.875,1
1686,HR+,0.46153846153846156,1
58,HER2+,0.8461538461538461,1
59,HR+,0.875,1
830,HER2+,0.6,1
830,HR+,0.46153846153846156,1
830,TN,0.6363636363636364,1
697,HER2+,0.6,1
697,HR+,0.46153846153846156,1
697,TN,0.6363636363636364,1
691,HER2+,0.6,1
691,HR+,0.46153846153846156,1
691,TN,0.6363636363636364,1
2077,HER2+,1.0,1
2077,HR+,0.3333333333333333,1
2077,TN,0.26666666666666666,1
2063,HER2+,1.0,1
2063,HR+,0.3333333333333333,1
2063,TN,0.26666666666666666,1
693,HER2+,0.8461538461538461,1
693,HR+,0.875,1
693,TN,0.6666666666666666,1
59,HER2+,0.8461538461538461,1
59,TN,0.6666666666666666,1
419,TN,0.75,1
734,HER2+,1.0,1
420,HR+,0.46153846153846156,1
1741,HER2+,0.8,1
2760,TN,0.375,1
2760,HR+,0.5,1
2760,HER2+,0.8,1
1713,TN,0.375,1
1713,HR+,0.5,1
1713,HER2+,0.8,1
420,HER2+,0.875,1
1013,HR+,0.5,1
1013,HER2+,1.0,1
1097,TN,0.0,1
1097,HR+,0.5,1
1097,HER2+,1.0,1
1741,HR+,0.5,1
2107,TN,0.0,1
2107,HER2+,1.0,1
1038,TN,0.0,1
1038,HR+,0.5,1
1038,HER2+,1.0,1
1099,TN,0.0,1
1099,HR+,0.5,1
1099,HER2+,1.0,1
1243,TN,0.75,1
1243,HR+,0.6,1
1243,HER2+,1.0,1
1141,TN,0.5555555555555556,1
1141,HR+,0.6,1
1141,HER2+,1.0,1
2107,HR+,0.5,1
1133,TN,0.5555555555555556,1
1741,TN,0.375,1
1190,HR+,0.5,1
2158,TN,0.5,1
2158,HR+,0.5,1
2158,HER2+,1.0,1
2157,TN,0.5,1
2157,HR+,0.5,1
2157,HER2+,1.0,1
2156,TN,0.5,1
2156,HR+,0.5,1
2156,HER2+,1.0,1
2153,TN,0.5,1
2153,HR+,0.5,1
2153,HER2+,1.0,1
2155,TN,0.5,1
1190,HER2+,0.8,1
2155,HR+,0.5,1
2161,TN,0.5,1
2161,HR+,0.5,1
2161,HER2+,1.0,1
2163,TN,0.5,1
2163,HR+,0.5,1
2163,HER2+,1.0,1
2159,TN,0.5,1
2159,HR+,0.5,1
2159,HER2+,1.0,1
1080,TN,0.5,1
1080,HR+,0.4444444444444444,1
1080,HER2+,1.0,1
1190,TN,0.375,1
2155,HER2+,1.0,1
1133,HR+,0.6,1
1013,TN,0.0,1
1139,HER2+,1.0,1
2103,HER2+,1.0,1
2103,HR+,0.631578947368421,1
676,HER2+,1.0,1
676,HR+,0.631578947368421,1
676,TN,0.6666666666666666,1
671,HER2+,1.0,1
671,HR+,0.631578947368421,1
671,TN,0.6666666666666666,1
1133,HER2+,1.0,1
1137,TN,0.5555555555555556,1
1137,HR+,0.6,1
1137,HER2+,1.0,1
1138,TN,0.5555555555555556,1
1138,HR+,0.6,1
1139,HR+,0.6,1
1138,HER2+,1.0,1
1139,TN,0.5555555555555556,1
1888,TN,0.6666666666666666,1
1888,HR+,0.631578947368421,1
2103,TN,0.6666666666666666,1
675,TN,0.6666666666666666,1
1774,TN,0.7777777777777778,1
2108,HER2+,0.7857142857142857,1
1888,HER2+,1.0,1
2108,HR+,0.6428571428571429,1
2108,TN,1.0,1
1883,TN,0.7777777777777778,1
1883,HR+,0.6666666666666666,1
1883,HER2+,1.0,1
1772,TN,0.7777777777777778,1
1774,HR+,0.6666666666666666,1
1774,HER2+,1.0,1
1772,HR+,0.6666666666666666,1
1772,HER2+,1.0,1
420,TN,0.75,1
675,HER2+,1.0,1
675,HR+,0.631578947368421,1
829,HER2+,0.8,2
829,TN,0.7727272727272727,2
1079,TN,0.6477272727272727,2
1079,HR+,0.5272727272727272,2
1079,HER2+,1.0,2
832,HR+,0.6136363636363636,2
1092,HER2+,0.9642857142857143,2
832,HER2+,1.0,2
736,HER2+,1.0,2
829,HR+,0.5944055944055944,2
832,TN,0.7878787878787878,2
