features,type,accuracy,freqs
1642,HER2+,0.875,1
1672,HR+,0.6666666666666666,1
765,HR+,0.75,1
801,HER2+,1.0,1
801,TN,1.0,1
2753,HR+,0.75,1
2753,HER2+,1.0,1
2766,TN,0.5714285714285714,1
2766,HR+,0.75,1
2766,HER2+,1.0,1
2769,TN,0.5714285714285714,1
2769,HR+,0.75,1
2769,HER2+,1.0,1
21,TN,0.8,1
21,HR+,0.6666666666666666,1
21,HER2+,1.0,1
37,TN,0.8,1
37,HR+,0.6666666666666666,1
37,HER2+,1.0,1
192,TN,0.8,1
2753,TN,0.5714285714285714,1
192,HR+,0.6666666666666666,1
2383,HER2+,1.0,1
2383,TN,0.5714285714285714,1
1275,TN,0.5714285714285714,1
1275,HR+,0.75,1
1275,HER2+,1.0,1
1421,TN,0.5714285714285714,1
1421,HR+,0.75,1
1421,HER2+,1.0,1
1680,TN,0.5714285714285714,1
1680,HR+,0.75,1
1680,HER2+,1.0,1
1816,TN,0.5714285714285714,1
1816,HR+,0.75,1
1816,HER2+,1.0,1
1901,TN,0.5714285714285714,1
1901,HR+,0.75,1
1901,HER2+,1.0,1
2383,HR+,0.75,1
801,HR+,0.6153846153846154,1
192,HER2+,1.0,1
762,HR+,0.6666666666666666,1
1953,TN,0.8,1
1953,HR+,0.6666666666666666,1
1953,HER2+,1.0,1
2065,TN,0.8,1
2065,HR+,0.6666666666666666,1
2065,HER2+,1.0,1
2078,TN,0.8,1
2078,HR+,0.6666666666666666,1
2078,HER2+,1.0,1
41,TN,1.0,1
41,HR+,0.6153846153846154,1
41,HER2+,1.0,1
396,TN,1.0,1
396,HR+,0.6153846153846154,1
396,HER2+,1.0,1
1870,HER2+,1.0,1
762,TN,0.8,1
1870,HR+,0.6666666666666666,1
1869,HER2+,1.0,1
762,HER2+,1.0,1
792,TN,0.8,1
792,HR+,0.6666666666666666,1
792,HER2+,1.0,1
794,TN,0.8,1
794,HR+,0.6666666666666666,1
794,HER2+,1.0,1
1110,TN,0.8,1
1110,HR+,0.6666666666666666,1
1110,HER2+,1.0,1
1563,TN,0.8,1
1563,HR+,0.6666666666666666,1
1563,HER2+,1.0,1
1869,TN,0.8,1
1869,HR+,0.6666666666666666,1
1870,TN,0.8,1
2058,TN,0.42857142857142855,1
2714,HER2+,0.875,1
1668,HR+,0.5,1
1649,HER2+,0.9,1
1649,HR+,0.5,1
1649,TN,0.6,1
1646,HER2+,0.9,1
1646,HR+,0.5,1
1646,TN,0.6,1
847,HR+,0.2727272727272727,1
847,HER2+,1.0,1
848,TN,0.3333333333333333,1
1654,TN,0.6,1
1068,HER2+,0.9,1
1068,TN,0.6,1
848,HR+,0.2727272727272727,1
848,HER2+,1.0,1
849,TN,0.3333333333333333,1
673,HER2+,0.9,1
673,HR+,0.5,1
673,TN,0.6,1
484,HER2+,0.9,1
484,HR+,0.5,1
1068,HR+,0.5,1
1654,HR+,0.5,1
847,TN,0.3333333333333333,1
846,HER2+,1.0,1
834,HER2+,1.0,1
841,TN,0.3333333333333333,1
841,HR+,0.2727272727272727,1
841,HER2+,1.0,1
843,TN,0.3333333333333333,1
843,HR+,0.2727272727272727,1
843,HER2+,1.0,1
844,TN,0.3333333333333333,1
844,HR+,0.2727272727272727,1
844,HER2+,1.0,1
845,TN,0.3333333333333333,1
488,HER2+,1.0,1
1668,TN,0.6,1
1665,HER2+,0.9,1
845,HR+,0.2727272727272727,1
845,HER2+,1.0,1
846,TN,0.3333333333333333,1
1665,HR+,0.5,1
1665,TN,0.6,1
1654,HER2+,0.9,1
846,HR+,0.2727272727272727,1
484,TN,0.6,1
834,HR+,0.2727272727272727,1
463,HER2+,0.9,1
463,TN,0.6,1
2262,HER2+,1.0,1
2263,TN,0.3333333333333333,1
2263,HR+,0.2727272727272727,1
2263,HER2+,1.0,1
2264,TN,0.3333333333333333,1
825,HER2+,1.0,1
825,HR+,0.75,1
825,TN,0.5,1
745,HER2+,1.0,1
2262,HR+,0.2727272727272727,1
745,HR+,0.75,1
744,HER2+,1.0,1
744,HR+,0.75,1
744,TN,0.5,1
743,HER2+,1.0,1
2264,HR+,0.2727272727272727,1
2264,HER2+,1.0,1
488,TN,0.5,1
743,HR+,0.75,1
743,TN,0.5,1
745,TN,0.5,1
2262,TN,0.3333333333333333,1
855,HER2+,1.0,1
855,HR+,0.2727272727272727,1
462,HER2+,0.9,1
462,HR+,0.5,1
462,TN,0.6,1
2244,HER2+,1.0,1
2244,HR+,0.75,1
2244,TN,0.5,1
2243,HER2+,1.0,1
849,HR+,0.2727272727272727,1
849,HER2+,1.0,1
850,TN,0.3333333333333333,1
2243,HR+,0.75,1
2243,TN,0.5,1
2156,HER2+,1.0,1
2156,HR+,0.75,1
2156,TN,0.5,1
850,HR+,0.2727272727272727,1
850,HER2+,1.0,1
853,TN,0.3333333333333333,1
853,HR+,0.2727272727272727,1
853,HER2+,1.0,1
855,TN,0.3333333333333333,1
463,HR+,0.5,1
1668,HER2+,0.9,1
488,HR+,0.75,1
1687,HR+,0.5,1
1673,TN,0.875,1
1673,HR+,0.8888888888888888,1
1673,HER2+,0.875,1
1674,TN,0.875,1
1674,HR+,0.8888888888888888,1
1674,HER2+,0.875,1
2204,TN,0.875,1
1670,HER2+,0.875,1
2204,HR+,0.8888888888888888,1
2205,TN,0.875,1
2770,HER2+,0.8,1
2770,HR+,0.5,1
2770,TN,0.42857142857142855,1
2205,HR+,0.8888888888888888,1
2205,HER2+,0.875,1
2206,TN,0.875,1
2204,HER2+,0.875,1
2206,HR+,0.8888888888888888,1
1687,TN,0.6,1
856,HER2+,0.875,1
726,HR+,0.8888888888888888,1
726,HER2+,0.875,1
731,TN,0.875,1
731,HR+,0.8888888888888888,1
731,HER2+,0.875,1
734,TN,0.875,1
734,HR+,0.8888888888888888,1
1670,TN,0.875,1
734,HER2+,0.875,1
1014,HR+,0.5,1
1014,TN,0.42857142857142855,1
2047,HER2+,0.8,1
2047,HR+,0.5,1
2047,TN,0.42857142857142855,1
856,TN,0.875,1
856,HR+,0.8888888888888888,1
1014,HER2+,0.8,1
2206,HER2+,0.875,1
1670,HR+,0.8888888888888888,1
2739,HER2+,0.9,1
2207,TN,0.875,1
2724,HR+,0.5,1
2724,HER2+,0.9,1
2724,TN,0.6,1
2732,TN,0.6,1
2723,HER2+,0.9,1
2223,HR+,0.8888888888888888,1
2732,HR+,0.5,1
2732,HER2+,0.9,1
2223,TN,0.875,1
2751,TN,0.875,1
2723,HR+,0.5,1
2723,TN,0.6,1
2223,HER2+,0.875,1
2751,HR+,0.8888888888888888,1
2739,TN,0.6,1
2735,HER2+,0.9,1
2662,HER2+,0.9,1
2739,HR+,0.5,1
2207,HR+,0.8888888888888888,1
2207,HER2+,0.875,1
2735,HR+,0.5,1
1687,HER2+,0.9,1
2735,TN,0.6,1
2662,TN,0.6,1
2662,HR+,0.5,1
834,TN,0.3333333333333333,1
2751,HER2+,0.875,1
2220,TN,0.41666666666666663,2
2158,TN,0.41666666666666663,2
2158,HR+,0.5113636363636364,2
2158,HER2+,1.0,2
2157,HR+,0.5113636363636364,2
2157,TN,0.41666666666666663,2
2157,HER2+,1.0,2
2220,HR+,0.5113636363636364,2
736,HER2+,0.9375,2
839,HR+,0.6944444444444444,2
839,TN,0.7375,2
736,HR+,0.8194444444444444,2
736,TN,0.6875,2
735,HER2+,0.9375,2
1882,TN,0.6607142857142857,2
735,HR+,0.8194444444444444,2
735,TN,0.6875,2
2220,HER2+,1.0,2
1882,HR+,0.7083333333333333,2
2749,TN,0.6857142857142857,2
1900,TN,0.7857142857142857,2
857,HR+,0.5808080808080808,2
857,HER2+,0.9375,2
2214,HER2+,0.9375,2
2214,HR+,0.7521367521367521,2
2214,TN,0.9375,2
2212,HER2+,0.9375,2
857,TN,0.6041666666666666,2
