features,type,accuracy,freqs
1055,HER2+,1.0,1
2720,HR+,0.6428571428571429,1
2720,HER2+,1.0,1
2004,TN,0.2727272727272727,1
2004,HR+,0.8,1
2004,HER2+,1.0,1
263,TN,0.5555555555555556,1
263,HR+,0.9166666666666666,1
263,HER2+,0.8333333333333334,1
2075,HR+,0.5454545454545454,1
764,HER2+,1.0,1
469,TN,0.5555555555555556,1
469,HR+,0.9166666666666666,1
469,HER2+,0.8333333333333334,1
764,HR+,0.7142857142857143,1
764,TN,1.0,1
2720,TN,0.9166666666666666,1
2224,TN,0.5,1
470,TN,1.0,1
470,HER2+,1.0,1
1182,HER2+,1.0,1
1182,HR+,0.6,1
1182,TN,0.8,1
1184,HER2+,1.0,1
1184,HR+,0.6,1
1184,TN,0.8,1
1185,HER2+,1.0,1
1185,HR+,0.6,1
1185,TN,0.8,1
2222,HER2+,1.0,1
2222,HR+,0.6923076923076923,1
2222,TN,0.45454545454545453,1
2218,HER2+,1.0,1
2218,HR+,0.6923076923076923,1
2218,TN,0.45454545454545453,1
470,HR+,0.7142857142857143,1
2224,HR+,0.5714285714285714,1
2224,HER2+,0.9166666666666666,1
1787,TN,0.5454545454545454,1
1128,HER2+,1.0,1
1122,TN,0.5,1
1122,HR+,1.0,1
1122,HER2+,1.0,1
1121,TN,0.5,1
1121,HR+,1.0,1
1121,HER2+,1.0,1
2009,TN,0.4,1
2009,HR+,0.7142857142857143,1
2009,HER2+,1.0,1
2010,TN,0.4,1
2010,HR+,0.7142857142857143,1
2010,HER2+,1.0,1
2723,TN,0.4,1
2723,HR+,0.7142857142857143,1
1128,HR+,1.0,1
1128,TN,0.5,1
1055,HR+,0.6470588235294118,1
1120,HER2+,1.0,1
1787,HR+,0.4,1
1787,HER2+,1.0,1
2073,TN,0.5,1
2073,HR+,0.5,1
2073,HER2+,1.0,1
2186,TN,0.5,1
2186,HR+,0.5,1
731,TN,0.8,1
2186,HER2+,1.0,1
1123,HR+,1.0,1
1123,HER2+,1.0,1
1125,TN,0.5,1
1125,HR+,1.0,1
1125,HER2+,1.0,1
1120,TN,0.5,1
1120,HR+,1.0,1
1123,TN,0.5,1
731,HR+,0.6,1
2753,HER2+,1.0,1
2753,HR+,0.5,1
2438,TN,0.45454545454545453,1
2040,HER2+,1.0,1
2040,HR+,0.6153846153846154,1
2040,TN,0.45454545454545453,1
2039,HER2+,1.0,1
2430,TN,0.5,1
2430,HR+,0.5,1
2430,HER2+,1.0,1
2039,HR+,0.6153846153846154,1
2039,TN,0.45454545454545453,1
1775,HER2+,1.0,1
1775,HR+,0.6153846153846154,1
1775,TN,0.45454545454545453,1
38,HER2+,1.0,1
38,HR+,0.6153846153846154,1
2438,HR+,0.6153846153846154,1
2410,HER2+,1.0,1
2410,HR+,0.5,1
2410,TN,0.5,1
2438,HER2+,1.0,1
2411,TN,0.5,1
2411,HR+,0.5,1
2411,HER2+,1.0,1
2439,TN,0.5,1
2439,HR+,0.5,1
2439,HER2+,1.0,1
38,TN,0.45454545454545453,1
2414,TN,0.5,1
2414,HER2+,1.0,1
2413,TN,0.5,1
2413,HR+,0.5,1
2413,HER2+,1.0,1
2412,TN,0.5,1
2412,HR+,0.5,1
2412,HER2+,1.0,1
2414,HR+,0.5,1
2723,HER2+,1.0,1
734,HER2+,1.0,1
734,TN,0.8,1
1181,TN,0.8,1
1179,HER2+,1.0,1
2747,TN,0.6666666666666666,1
2747,HR+,0.5,1
2747,HER2+,1.0,1
2748,TN,0.6666666666666666,1
2748,HR+,0.5,1
2748,HER2+,1.0,1
2752,TN,0.6666666666666666,1
2752,HR+,0.5,1
2752,HER2+,1.0,1
1179,HR+,0.6,1
1179,TN,0.8,1
731,HER2+,1.0,1
2753,TN,0.6666666666666666,1
1181,HR+,0.6,1
1181,HER2+,1.0,1
1180,TN,0.8,1
1180,HR+,0.6,1
1900,HER2+,1.0,1
1029,TN,0.6,1
1029,HR+,0.75,1
1029,HER2+,0.8181818181818182,1
1900,HR+,0.6,1
1900,TN,0.8,1
1176,HER2+,1.0,1
734,HR+,0.6,1
1176,HR+,0.6,1
1180,HER2+,1.0,1
2749,TN,0.6666666666666666,1
2749,HR+,0.5,1
