features,type,accuracy,freqs
2769,HER2+,0.875,1
1073,TN,0.8333333333333334,1
220,HER2+,1.0,1
220,HR+,0.5,1
220,TN,0.7777777777777778,1
2091,HER2+,1.0,1
2091,HR+,0.6363636363636364,1
2091,TN,0.46153846153846156,1
2092,HER2+,1.0,1
1073,HR+,0.6666666666666666,1
2092,HR+,0.6363636363636364,1
1426,HER2+,0.8571428571428571,1
1426,HR+,0.6666666666666666,1
1426,TN,1.0,1
1581,TN,0.6363636363636364,1
1581,HR+,0.7142857142857143,1
1581,HER2+,0.8888888888888888,1
1582,TN,0.6363636363636364,1
1582,HR+,0.7142857142857143,1
2092,TN,0.46153846153846156,1
1073,HER2+,0.9166666666666666,1
503,TN,0.5,1
503,HR+,0.5,1
1365,HER2+,0.75,1
1365,HR+,0.5555555555555556,1
1365,TN,0.6923076923076923,1
1646,HER2+,0.9166666666666666,1
1646,HR+,0.8181818181818182,1
1646,TN,0.7,1
2008,HER2+,0.9230769230769231,1
2008,HR+,0.7142857142857143,1
2008,TN,0.46153846153846156,1
1222,HER2+,0.8571428571428571,1
1222,HR+,0.631578947368421,1
1222,TN,1.0,1
718,HER2+,0.8181818181818182,1
718,HR+,0.45454545454545453,1
718,TN,0.5,1
687,HER2+,0.9230769230769231,1
687,HR+,0.75,1
687,TN,0.75,1
503,HER2+,0.9333333333333333,1
1582,HER2+,0.8888888888888888,1
1420,TN,0.36363636363636365,1
414,HER2+,0.875,1
414,TN,0.75,1
929,TN,0.625,1
926,HER2+,0.9230769230769231,1
926,HR+,0.3333333333333333,1
926,TN,0.625,1
925,HER2+,0.9230769230769231,1
925,HR+,0.3333333333333333,1
925,TN,0.625,1
927,HER2+,0.9230769230769231,1
929,HR+,0.3333333333333333,1
927,HR+,0.3333333333333333,1
928,HER2+,0.9230769230769231,1
928,HR+,0.3333333333333333,1
928,TN,0.625,1
37,HER2+,0.9,1
37,HR+,0.7857142857142857,1
37,TN,0.6,1
2258,TN,0.375,1
2258,HR+,0.75,1
927,TN,0.625,1
929,HER2+,0.9230769230769231,1
617,TN,0.8571428571428571,1
617,HR+,0.5,1
2757,HER2+,0.875,1
2757,HR+,0.6666666666666666,1
2757,TN,0.75,1
1282,HER2+,0.9166666666666666,1
1282,HR+,0.3333333333333333,1
1282,TN,0.7142857142857143,1
819,HER2+,1.0,1
819,HR+,0.6875,1
819,TN,0.625,1
205,HER2+,0.9166666666666666,1
205,HR+,0.5714285714285714,1
205,TN,0.5,1
615,HER2+,0.9375,1
615,HR+,0.5,1
615,TN,0.8571428571428571,1
616,HER2+,0.9375,1
616,HR+,0.5,1
616,TN,0.8571428571428571,1
617,HER2+,0.9375,1
414,HR+,0.6666666666666666,1
1420,HR+,0.45454545454545453,1
1420,HER2+,0.9090909090909091,1
702,TN,0.4,1
2832,HR+,0.38461538461538464,1
2832,TN,0.7,1
2817,HER2+,0.9,1
2817,HR+,0.38461538461538464,1
2817,TN,0.7,1
2823,HER2+,0.9,1
2823,HR+,0.38461538461538464,1
2823,TN,0.7,1
2832,HER2+,0.9,1
2822,HER2+,0.9,1
2822,TN,0.7,1
2833,HER2+,0.9,1
2833,HR+,0.38461538461538464,1
2833,TN,0.7,1
2819,HER2+,0.9,1
2819,HR+,0.38461538461538464,1
2819,TN,0.7,1
2818,HER2+,0.9,1
2822,HR+,0.38461538461538464,1
2831,TN,0.7,1
2831,HR+,0.38461538461538464,1
2831,HER2+,0.9,1
1858,TN,0.4166666666666667,1
2131,HER2+,0.8333333333333334,1
2131,HR+,0.5,1
2131,TN,0.4166666666666667,1
1384,TN,0.75,1
1384,HR+,0.3888888888888889,1
1384,HER2+,0.7272727272727273,1
1856,HER2+,0.8333333333333334,1
1392,TN,0.75,1
1392,HR+,0.3888888888888889,1
1392,HER2+,0.7272727272727273,1
1856,HR+,0.5,1
1856,TN,0.4166666666666667,1
485,HER2+,0.8571428571428571,1
1385,TN,0.75,1
1385,HR+,0.3888888888888889,1
1385,HER2+,0.7272727272727273,1
485,HR+,0.7142857142857143,1
485,TN,0.6,1
2818,HR+,0.38461538461538464,1
2818,TN,0.7,1
2820,HER2+,0.9,1
2820,HR+,0.38461538461538464,1
838,HR+,0.5454545454545454,1
838,TN,0.25,1
2740,TN,0.5833333333333334,1
2740,HR+,0.6363636363636364,1
2740,HER2+,0.8,1
412,HER2+,0.9,1
412,HR+,0.5333333333333333,1
412,TN,0.5,1
824,HER2+,0.9,1
824,HR+,0.5333333333333333,1
824,TN,0.5,1
407,HER2+,0.9,1
407,HR+,0.5333333333333333,1
407,TN,0.5,1
2061,HER2+,0.9166666666666666,1
2061,HR+,0.5,1
2061,TN,0.5,1
702,HER2+,1.0,1
702,HR+,0.5882352941176471,1
2728,HER2+,0.8,1
2258,HER2+,0.8461538461538461,1
2728,HR+,0.6363636363636364,1
838,HER2+,0.9285714285714286,1
2820,TN,0.7,1
